OBSNO,DATE,HOUR,TERRID,n,TEMP,WIND,SEXP,PANT,INC,OFF,DATETIME,DLGT,DAYn
322,04.06.16,17,AS50,15,9.467866667,3.531333333,30,0,15,0,04.06.16 16:50,13.10805556,156
323,14.06.16,18,AS52,15,12.34986667,3.328666667,30,0,15,0,14.06.16 17:40,14.13222222,166
324,09.06.16,16,AS53,15,10.56986667,3.353333333,30,0,15,0,09.06.16 15:49,12.20805556,161
325,09.06.16,16,AS53,15,10.74086667,3.708666667,30,0,15,0,09.06.16 16:04,12.45805556,161
326,09.06.16,16,AS53,15,10.75086667,3.480666667,30,0,15,0,09.06.16 16:19,12.70805556,161
327,12.06.16,16,AS53,15,11.84593333,2.28,30,0,15,0,12.06.16 16:25,12.85805556,164
328,12.06.16,17,AS53,15,11.76666667,2.433333333,25,0,15,0,12.06.16 16:40,13.10805556,164
329,12.06.16,17,AS53,15,11.37653333,2.534666667,15,0,15,0,12.06.16 16:55,13.35805556,164
330,12.06.16,17,AS53,15,11.04,2.458666667,3,0,14,1,12.06.16 17:10,13.60805556,164
331,14.06.16,18,AS53,15,12.34986667,3.328666667,30,0,15,0,14.06.16 17:40,14.13222222,166
332,07.06.16,15,AS54,15,9.6354,0.810666667,10,0,15,0,07.06.16 15:12,11.54944444,159
333,07.06.16,15,AS54,15,10.56653333,1.342666667,21,0,15,0,07.06.16 15:27,11.79944444,159
334,12.06.16,15,AS54,15,10.61873333,1.925333333,0,0,15,0,12.06.16 15:15,11.69138889,164
335,12.06.16,16,AS54,15,11.01233333,2.509333333,7,0,15,0,12.06.16 15:30,11.94138889,164
336,12.06.16,16,AS54,15,11.4088,2.51,28,0,13,2,12.06.16 15:45,12.19138889,164
337,14.06.16,17,AS54,15,11.73753333,3.759333333,15,0,15,0,14.06.16 16:53,13.34888889,166
338,14.06.16,17,AS54,15,12.33806667,3.607333333,30,0,15,0,14.06.16 17:08,13.59888889,166
339,07.06.16,15,AS56,15,9.6354,0.810666667,6,0,15,0,07.06.16 15:12,11.54944444,159
340,07.06.16,15,AS56,15,10.56653333,1.342666667,25,0,15,0,07.06.16 15:27,11.79944444,159
341,12.06.16,15,AS56,15,10.61873333,1.925333333,0,0,15,0,12.06.16 15:15,11.69138889,164
342,12.06.16,16,AS56,15,11.01233333,2.509333333,7,0,15,0,12.06.16 15:30,11.94138889,164
343,12.06.16,16,AS56,15,11.4088,2.51,28,0,15,0,12.06.16 15:45,12.19138889,164
344,14.06.16,17,AS56,15,11.73753333,3.759333333,15,0,11,4,14.06.16 16:53,13.34888889,166
345,14.06.16,17,AS56,15,12.3962,3.582,30,0,13,2,14.06.16 17:09,13.61555556,166
346,24.06.16,15,AS56,15,12.124,0.836,0,2,15,0,24.06.16 14:59,11.44972222,176
347,24.06.16,16,AS56,15,14.06746667,1.697333333,27,11,12,3,24.06.16 15:31,11.98305556,176
348,24.06.16,16,AS56,15,13.61106667,0.734666667,24,2,15,0,24.06.16 15:46,12.23305556,176
